,WATER_SPECIAL,ICE_STATUS,DARK_SPECIAL,NORMAL_STATUS,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,FIGHTING_PHYSICAL,FLYING_STATUS,ROCK_PHYSICAL,WATER_PHYSICAL,POISON_PHYSICAL,PSYCHIC_PHYSICAL,PSYCHIC_STATUS,NORMAL_PHYSICAL,POISON_STATUS,GRASS_STATUS,DARK_PHYSICAL,GROUND_PHYSICAL,ROCK_STATUS,ICE_PHYSICAL,DRAGON_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,DARK_STATUS,GROUND_SPECIAL,FLYING_SPECIAL,GHOST_SPECIAL,FIRE_STATUS
water_grass&fighting,421.5,260.1,269.6,124.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.8,0.0,0.0,0.0,147.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel&psychic_grass&fighting,0.0,0.0,80.4,21.6,204.0,-3.9,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.2,63.0,0.0,0.0,0.0,139.4,0.0,0.0,0.0,0.0,381.5,0.0,0.0,0.0,0.0,0.0
steel&psychic_ghost&dark,0.0,0.0,71.2,127.2,164.9,25.2,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3,63.4,0.0,0.0,0.0,140.6,0.0,0.0,0.0,0.0,57.1,0.0,0.0,0.0,0.0,0.0
steel&psychic_normal,0.0,0.0,91.8,258.3,129.5,229.0,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.1,97.9,0.0,0.0,0.0,165.4,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0
rock&dark_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1,61.4,161.1,217.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock&dark_steel&psychic,0.0,-11.1,0.0,0.0,0.0,0.0,0.0,-66.9,-83.8,-148.4,-109.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock&dark_psychic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.9,-106.4,-32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock&flying_dark&ice,32.6,0.0,0.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.2,-42.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock&flying_steel&psychic,0.0,0.0,0.0,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.5,188.1,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&poison_dark&ice,-96.9,0.0,0.0,-93.3,-17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.4,-66.3,0.0,0.0,0.0,0.0,0.0,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.2,0.0,0.0
