,WATER_SPECIAL,ICE_STATUS,DARK_SPECIAL,NORMAL_STATUS,STEEL_PHYSICAL,PSYCHIC_SPECIAL,GRASS_SPECIAL,FIRE_SPECIAL,ICE_SPECIAL,ELECTRIC_SPECIAL,FIGHTING_PHYSICAL,FLYING_STATUS,ROCK_PHYSICAL,WATER_PHYSICAL,POISON_PHYSICAL,PSYCHIC_PHYSICAL,PSYCHIC_STATUS,NORMAL_PHYSICAL,POISON_STATUS,GRASS_STATUS,DARK_PHYSICAL,GROUND_PHYSICAL,ROCK_STATUS,ICE_PHYSICAL,DRAGON_SPECIAL,ELECTRIC_STATUS,BUG_PHYSICAL,DARK_STATUS,GROUND_SPECIAL,FLYING_SPECIAL,GHOST_SPECIAL,FIRE_STATUS
water_grass&fighting,475.5,206.9,260.3,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,161.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel&psychic_grass&fighting,0.0,0.0,68.8,16.8,197.8,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,95.5,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,271.6,0.0,0.0,0.0,0.0,0.0
steel&psychic_ghost&dark,0.0,0.0,162.5,113.1,126.2,49.5,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,64.0,0.0,0.0,0.0,93.8,0.0,0.0,0.0,0.0,50.7,0.0,0.0,0.0,0.0,0.0
steel&psychic_normal,0.0,0.0,111.0,286.0,121.2,235.6,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.3,98.3,0.0,0.0,0.0,181.7,0.0,0.0,0.0,0.0,231.1,0.0,0.0,0.0,0.0,0.0
rock&dark_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9,36.8,128.9,221.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock&dark_steel&psychic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.7,-57.1,-88.3,-119.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock&dark_psychic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.3,29.4,-72.5,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock&flying_dark&ice,0.0,0.0,0.0,-90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.6,-60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock&flying_steel&psychic,0.0,0.0,0.0,112.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.4,73.0,0.0,0.0,0.0,0.0,128.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water&poison_dark&ice,-110.0,0.0,0.0,-110.7,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.3,0.0,-84.0,-123.7,0.0,0.0,0.0,0.0,0.0,-52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.9,0.0,0.0
water&poison_steel&psychic,65.1,0.0,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.2,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
