,rockpolish,headsmash,earthquake,aquatail,curse,willowisp,pursuit,rest,leafstorm,focusblast,dragonpulse,hiddenpower,bravebird,doubleedge,closecombat,uturn,nastyplot,batonpass,airslash,wish,meanlook,yawn,struggle
aggron_aggron,92.7,120.9,173.0,124.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggron_umbreon,50.7,92.0,52.3,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggron_spiritomb,39.5,55.2,59.4,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spiritomb_staraptor,0.0,-7.0,0.0,0.0,50.0,12.6,-4.1,2.1,0.0,0.0,0.0,0.0,-15.0,0.0,5.2,1.3,0.0,-2.6,3.9,0.0,0.0,0.0,0.0
spiritomb_sceptile,0.0,0.0,0.0,0.0,23.0,5.8,49.3,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spiritomb_umbreon,0.0,0.0,0.0,0.0,19.7,-7.0,-1.4,4.8,-8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0
sceptile_umbreon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,56.5,17.1,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sceptile_sceptile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,37.3,17.8,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sceptile_aggron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5,20.0,19.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sceptile_spiritomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,6.7,31.0,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sceptile_staraptor,0.0,0.0,0.0,5.1,2.1,0.0,0.0,0.0,1.2,19.9,41.6,12.2,0.0,0.0,0.0,0.0,0.0,-1.6,0.0,0.0,0.0,0.0,0.0
staraptor_umbreon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2,46.2,99.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,39.5
staraptor_staraptor,0.0,-5.4,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,30.5,68.7,7.9,0.0,0.0,0.0,0.0,0.0,0.0,16.4
togekiss_staraptor,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,5.8,0.0,5.0,0.0,4.6,0.0,4.6,0.0,26.4,22.3,66.6,47.1,0.0,0.0,0.0
togekiss_spiritomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9,21.3,37.6,13.7,0.0,0.0,0.0
umbreon_staraptor,0.0,-9.9,0.0,2.2,-4.0,0.0,0.0,0.0,2.4,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,11.5,-1.6,-14.0,0.9,-13.8,0.0
umbreon_sceptile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,15.4,22.9,14.8,0.0
umbreon_togekiss,0.0,-23.4,0.3,8.4,6.5,-6.0,0.0,0.0,-0.3,-14.3,6.7,0.6,-9.4,3.7,18.5,0.0,1.5,12.3,2.8,18.0,-4.0,13.3,10.3
togekiss_sceptile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,32.6,81.3,19.0,0.0,0.0,0.0
togekiss_togekiss,0.0,0.0,0.0,4.6,16.6,2.9,0.0,0.0,0.0,1.4,4.6,0.0,13.8,0.0,4.9,0.0,-13.7,-3.0,28.4,10.1,0.0,0.0,7.5
spiritomb_spiritomb,0.0,0.0,0.0,0.0,29.7,7.4,16.0,-3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spiritomb_togekiss,-0.9,0.0,-9.2,6.5,9.3,6.8,-32.5,-6.0,-8.8,0.0,0.9,3.6,9.7,0.0,7.2,0.0,0.0,4.2,1.8,4.9,0.0,0.0,2.0
aggron_sceptile,45.8,88.6,60.3,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggron_togekiss,-12.3,-0.3,-25.1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spiritomb_aggron,0.0,0.0,0.0,0.0,8.0,15.8,24.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
togekiss_aggron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,14.5,26.6,23.8,0.0,0.0,0.0
togekiss_umbreon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,7.5,25.1,-6.4,0.0,0.0,1.4
staraptor_spiritomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.4,23.4,1.7,15.5,0.0,0.0,0.0,0.0,0.0,0.0,52.7
umbreon_spiritomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,-7.8,4.9,6.6,0.0
umbreon_umbreon,0.0,7.4,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,5.5,0.0,3.3,0.0,0.0,0.0,0.0,-38.0,4.4,-76.7,-54.5,-72.3,10.6
staraptor_togekiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9,71.4,74.2,12.8,0.0,0.0,0.0,0.0,0.0,0.0,46.5
aggron_staraptor,-22.5,-48.8,-41.1,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
