,curse,willowisp,pursuit,rest,bravebird,doubleedge,closecombat,uturn,nastyplot,batonpass,airslash,wish,meanlook,yawn,leafstorm,focusblast,dragonpulse,hiddenpowerdark,hiddenpower,rockpolish,headsmash,earthquake,aquatail,struggle
spiritomb_spiritomb,48.7,21.7,35.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spiritomb_umbreon,-59.7,-0.2,-34.7,-16.9,-54.6,3.4,0.0,3.0,0.0,-5.8,-29.6,-9.5,-6.0,0.0,0.0,-17.5,0.0,0.0,-24.2,0.0,-10.9,-8.2,-4.5,0.0
spiritomb_togekiss,-18.9,0.4,-16.8,-22.3,1.6,13.4,31.8,0.0,9.8,26.6,38.2,-3.5,41.8,19.0,7.8,9.8,28.3,0.0,34.3,15.2,-23.8,-46.9,57.7,5.7
staraptor_togekiss,0.0,0.0,0.0,0.0,104.2,96.2,81.4,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2
staraptor_sceptile,0.0,0.0,0.0,0.0,208.3,208.0,155.4,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.7
staraptor_umbreon,0.0,0.0,0.0,0.0,108.6,104.0,110.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5
staraptor_aggron,0.0,0.0,0.0,0.0,89.0,84.6,146.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8
togekiss_aggron,6.4,0.0,0.0,0.0,13.1,5.5,0.0,0.0,25.7,12.1,32.5,22.3,2.9,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0
umbreon_aggron,19.7,2.4,0.0,2.4,9.8,4.8,0.0,0.0,11.6,18.5,24.4,24.9,22.2,18.2,0.0,0.0,2.1,0.0,17.4,0.0,10.1,2.4,4.3,0.0
sceptile_aggron,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,13.4,11.5,0.0,0.0,93.1,102.8,57.0,0.0,73.9,0.0,0.0,0.0,0.0,0.0
aggron_aggron,72.6,0.0,28.6,27.3,65.9,48.0,10.5,0.0,9.1,81.8,76.6,47.8,62.7,10.9,0.0,0.0,11.6,0.0,77.6,85.4,103.3,149.4,110.5,9.2
aggron_staraptor,9.3,-3.9,0.0,0.0,8.7,7.2,12.7,6.3,0.0,11.3,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.8,59.5,37.1,70.0,8.1
aggron_umbreon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,78.4,42.0,35.8,0.0
sceptile_sceptile,7.6,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,3.0,0.0,0.0,3.9,0.0,43.6,53.5,55.7,0.0,49.0,0.0,7.3,0.0,0.0,0.0
sceptile_togekiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,46.1,44.6,0.0,32.0,0.0,0.0,0.0,0.0,0.0
